"Kode Barang";"Nama Barang";"1(Rabu)";"2(Kamis)";"3(Jumat)";"4(Sabtu)";"5(Minggu)";"6(Senin)";"7(Selasa)";"8(Rabu)";"9(Kamis)";"10(Jumat)";"11(Sabtu)";"12(Minggu)";"13(Senin)";"14(Selasa)";"15(Rabu)";"16(Kamis)";"17(Jumat)";"18(Sabtu)";"19(Minggu)";"20(Senin)";"21(Selasa)";"22(Rabu)";"23(Kamis)";"24(Jumat)";"25(Sabtu)";"26(Minggu)";"27(Senin)";"28(Selasa)";"29(Rabu)";"30(Kamis)";"31(Jumat)"
"2018003";"AB-Vask 10mg (APBK)";"226.0333333333333";"226.0333333333333";"226.0333333333333";"226.0333333333333";"226.0333333333333";"226.0333333333333";"226.0333333333333";"226.0333333333333";"226.0333333333333";"226.0333333333333";"226.0333333333333";"226.0333333333333";"226.0333333333333";"226.0333333333333";"226.0333333333333";"226.0333333333333";"226.0333333333333";"226.0333333333333";"226.0333333333333";"226.0333333333333";"226.0333333333333";"226.0333333333333";"226.0333333333333";"226.0333333333333";"226.0333333333333";"226.0333333333333";"226.0333333333333";"226.0333333333333";"226.0333333333333";"226.0333333333333";"226.0333333333333"
"2018001";"AB-Vask 10mg (Otsus)";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"B000000552";"AB-Vask 5mg";"62.0";"62.0";"62.0";"62.0";"62.0";"62.0";"62.0";"62.0";"62.0";"62.0";"62.0";"62.0";"62.0";"62.0";"62.0";"62.0";"62.0";"62.0";"62.0";"62.0";"62.0";"62.0";"62.0";"62.0";"62.0";"62.0";"62.0";"62.0";"62.0";"62.0";"62.0"
"B000000003";"Abbocath";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"B000001294";"ACARBOSE TAB 100MG(Box/100)";"67.0";"67.0";"67.0";"67.0";"67.0";"67.0";"67.0";"67.0";"67.0";"67.0";"67.0";"67.0";"67.0";"67.0";"67.0";"67.0";"67.0";"67.0";"67.0";"67.0";"67.0";"67.0";"67.0";"57.0";"57.0";"57.0";"57.0";"57.0";"57.0";"57.0";"57.0"
"B000000305";"Acetensa tab";"114.30000000000001";"114.30000000000001";"114.30000000000001";"114.30000000000001";"114.30000000000001";"114.30000000000001";"114.30000000000001";"114.30000000000001";"114.30000000000001";"114.30000000000001";"100.30000000000001";"100.30000000000001";"100.30000000000001";"100.30000000000001";"100.30000000000001";"100.30000000000001";"100.30000000000001";"100.30000000000001";"100.30000000000001";"100.30000000000001";"100.30000000000001";"100.30000000000001";"86.30000000000001";"86.30000000000001";"86.30000000000001";"86.30000000000001";"86.30000000000001";"86.30000000000001";"86.30000000000001";"86.30000000000001";"86.30000000000001"
"B000000553";"Acitral Sirup";"66.0";"66.0";"66.0";"66.0";"66.0";"66.0";"66.0";"66.0";"66.0";"66.0";"66.0";"66.0";"66.0";"66.0";"66.0";"66.0";"66.0";"66.0";"66.0";"66.0";"66.0";"66.0";"66.0";"66.0";"66.0";"66.0";"66.0";"66.0";"66.0";"66.0";"66.0"
"B000000554";"Acran 150 mg Tablet";"50.7";"50.7";"50.7";"50.7";"50.7";"50.7";"50.7";"50.7";"50.7";"50.7";"52.7";"52.7";"52.7";"52.7";"52.7";"52.7";"52.7";"42.0";"42.0";"42.0";"42.0";"42.0";"19.0";"10.0";"10.0";"10.0";"10.0";"10.0";"10.0";"10.0";"10.0"
"B000000555";"Acran Injeksi";"200.0";"200.0";"200.0";"200.0";"200.0";"200.0";"200.0";"200.0";"200.0";"200.0";"200.0";"200.0";"200.0";"200.0";"200.0";"200.0";"200.0";"200.0";"200.0";"200.0";"200.0";"200.0";"200.0";"200.0";"200.0";"200.0";"200.0";"200.0";"200.0";"200.0";"200.0"
"B000001207";"Acrios 50 mg tab";"466.4000000000001";"466.4000000000001";"466.4000000000001";"466.4000000000001";"466.4000000000001";"466.4000000000001";"466.4000000000001";"466.4000000000001";"466.4000000000001";"466.4000000000001";"466.4000000000001";"466.4000000000001";"466.4000000000001";"466.4000000000001";"466.4000000000001";"466.4000000000001";"476.4000000000001";"469.7000000000001";"469.7000000000001";"469.7000000000001";"469.7000000000001";"469.7000000000001";"469.7000000000001";"469.7000000000001";"469.7000000000001";"469.7000000000001";"469.7000000000001";"469.7000000000001";"469.7000000000001";"469.7000000000001";"469.7000000000001"
